Section,Sentiment,Score
Das Programm für Stabilität und Erneuerung,neutral,0.9990251064300537
GEMEINSAM FÜR EIN MODERNES DEUTSCHLAND.Einleitung Deutschland ist ein starkes Land,neutral,0.9999758005142212
"Das ist vor allem ein Verdienst der Bür gerinnen und Bür ger, die jeden Tag anpacken, damit es bei uns auch morgen gut läuf t",neutral,0.9931282997131348
"Wir haben starke Be triebe, innovative Startups und Weltmarktführer, herausragende Forsch erinnen und For scher und eines der besten Gesundheitsund Sozialsysteme de r Welt",neutral,0.9998607635498047
"Wir sind ein weltof fenes und sicheres Land; ein Land, das Verantwortung für Sicher heit und Frieden, Freiheit und Wohlstand in Europa und weltweit übernimmt",neutral,0.9998108744621277
"Die Corona-Krise hat unser Land und besonders Staat und Verwaltung herausgefordert und offengelegt, dass wir in einigen Bereichen schneller, besser und mu tiger werden müssen",neutral,0.9875281453132629
Wir brauchen einen kraftvollen Neustart nach der Krise,neutral,0.9916214942932129
Wir wollen di e 20er Jahre zu einem Modernisierungsjahrzehnt für unser Land machen,neutral,0.9886283874511719
Dabei wollen wi r das Gute besser ma chen,neutral,0.9886654615402222
"Denn klar ist : Wir können nicht zaubern, aber wir können und wir wollen arbeiten und gestalten",neutral,0.9963464140892029
Wir haben in der unionsgeführten Bundesregierung vieles err eicht,neutral,0.9799389839172363
"Unsere Politik für Wachstum und solide Finanzen hat die Grundlage dafür geschaffen, dass wir in der Pande mie umfassend handeln konnten: zum Schutz der Bürgerinnen und B ürger vor dem Virus, für die Impfstoffrevolution und umfassende Hilfen für Betriebe und Beschäftigte",neutral,0.9997621178627014
Das ist nicht selbstverständlich und nicht garantiert,neutral,0.9920815229415894
"Erfolg ist kein Sc hicksal, sondern das Ergebnis harter Arbeit",neutral,0.9999185800552368
"Unsere Richtung ist klar: Wir wollen den Wandel gestalten, damit Deutschland an der Spitze bleibt",neutral,0.9829108119010925
Aber unsere Vorstellung ist: Sicherheit im Wandel,neutral,0.9944149255752563
Wir wollen stark aus de r Krise kommen und eine neue Dynamik schaffen,neutral,0.9981032609939575
"Eine Dynamik, die Wirtsch aft und Klimaschutz voranbringt, Arbeitsplätze sichert und neue schafft, Familie n unterstützt und eine modern e Arbeitswelt gestaltet",neutral,0.9999879598617554
"Dabei stürmen wir nicht blind ins Morgen, sondern halten Maß und Mitte",neutral,0.9999871253967285
"Das bedeutet auch: Wir werden nichts versprechen, was wir nicht ein halten können",neutral,0.9966976642608643
Durch die hohen Ausgaben zur Bekämpfung der Pandemie sind die fina nziellen Spielräume des Staates deutlich eingeschränkt,neutral,0.9999912977218628
Neue Schulden oder Steuererhöhun gen wären aber der fal sche Weg,neutral,0.9910765886306763
"Wir setzen auf wirtschaftliches Wachstum, das unserem Staat finanz ielle Spiel räume eröffnet",neutral,0.9999879598617554
Diese Spielräume wollen wir für die finanzwirksamen Vor haben dieses Pro gramms nutzen,neutral,0.9999595880508423
Wir brauchen auch einen Neustart im Verhältnis zwischen Staat und Bürger,neutral,0.9994937181472778
Der Staat muss sich nach der Pandemie wieder deutlich zurückziehen und de n Bürgerinnen und Bürgern sowie den Unternehmen mehr Freiraum lassen,neutral,0.9999885559082031
"Wir müssen aufhören, jedes Problem bis ins Detail zu regeln oder mit mehr Geld lösen zu wollen",neutral,0.9818155169487
Wir wollen einen verlässlichen und modernen Staat,neutral,0.9982568621635437
"Unser Ziel ist, so schnell wie möglich wieder zurück zu einer Normalit ät zu gelangen, die uns Liebgewonnenes und Vermisstes zurückgibt und in der wir kl ug das Morgen gestalten",neutral,0.9957818984985352
"Wir wollen, dass Deutschland eine starke Heimat bleibt, in der möglich st viele Menschennach ihrem persönlichen Glück streben können",neutral,0.9958541393280029
