Section,Sentiment,Score
" Das Volk ist der Souverän Die Regierungspolitiker in Bund und Ländern haben mit ihrer Flüchtlings-, Europaund Corona-Politik die Prinzipien der deutschen Staatlichkeit, des Rechts und der Verfassung vielfach verletzt",neutral,0.9999796152114868
Zugleich haben sich die Volksvertreter der etablierten Parteien den grundgesetzlich garantierten Parlamentsvorbehalt für alle wichtigen Entscheidungen im Staat ohne Widerstand nehmen lassen,neutral,0.9999912977218628
"Die Bundesregierung kommt ihrer Pflicht, Vertragsbrüchen und Selbstermächtigungen durch EU-Institutionen entgegenzutreten, nicht nach",neutral,0.9999891519546509
Einzelne rechtsund verfassungswidrige Maßnahmen wurden zwar durch mutige Richter in Hunderten von Urteilen zu Fall gebracht,neutral,0.9999915361404419
"In unserem Land hat sich aber eine politische Klasse herausgebildet, deren vordringliches Interesse ihrer Macht, ihrem Status und ihrem materiellen Wohlergehen gilt",neutral,0.9999914169311523
"Diese setzt die soziale und kulturelle Zukunft unseres Volkes, die Stärke unserer Wirtschaft und damit unseres Wohlstandes aufs Spiel und stellt Multikulturalität, Diversität, Globalisierung und vermeintliche Gendergerechtigkeit über alles",neutral,0.9999916553497314
"Sie hält die Schalthebel der staatlichen Macht, der politischen Bildung und des informationellen und medialen Einflusses auf die Bevölkerung in Händen",neutral,0.9999914169311523
"Deshalb halten wir die unmittelbare Demokratie für ein unverzichtbares Mittel, um dem autoritären und teilweise totalitären Gebaren der Regierungspolitiker Einhalt zu gebieten",neutral,0.9999570846557617
"Wir halten die unmittelbare Demokratie für ein unverzichtbares Mittel, um dem autoritären und teilweise totalitären Gebaren der Regierungspolitiker Einhalt zu gebieten.Volksabstimmungen nach Schweizer Modell Die AfD fordert Volksentscheide nach Schweizer Modell auch für Deutschland",neutral,0.9713901877403259
"Die uneingeschränkte Volkssouveränität in ihrer fast 200 Jahre bewährten und optimierten Gestaltung hat dem eidgenössischen Bundesstaat eine fortwährende Spitzenstellung in Wohlstand, Frieden und Freiheit gewährleistet",neutral,0.9999915361404419
Durch die Volksabstimmungen wollen wir die Flut der oftmals unsinnigen Gesetzesvorlagen eindämmen und die Parlamente zu sorgfältiger Arbeit zwingen,neutral,0.9999878406524658
Unangemessenen Beschlüssen der Abgeordneten in eigener Sache wollen wir einen Riegel vorschieben,neutral,0.9959172606468201
"Hierzu zählen etwa die Diäten, Fraktionsund Parteienfinanzierung sowie die Finanzierung von „parteinahen“ Stiftungen",neutral,0.9999915361404419
Der Wortbruch der etablierten Parteien bezüglich des Euros und die immer weitere Zentralisierung der EU bedrohen die Zukunft unseres Landes (sowie der nachfolgenden Generationen),neutral,0.9999752044677734
Diese fatale Politik wollen wir beenden,negative,0.8801975846290588
Die Einführung von Volksabstimmungen nach Schweizer Modell ist für die AfD nicht verhandelbarer Inhalt jeglicher Koalitionsvereinbarungen und beinhaltet insbesondere folgende Elemente: Ohne Zustimmung des Volkes darf das Grundgesetz nicht geändert und kein bedeutsamer völkerrechtlicher Vertrag geschlossen werden,neutral,0.9999862909317017
"Wir wollen dem Volk das Recht geben, den Abgeordneten auf die Finger zu schauen und vom Parlament beschlossene Gesetze zu ändern oder abzulehnen",neutral,0.9999821186065674
Die AfD fordert Volksentscheide nach Schweizer Modell auch für Deutschland,neutral,0.9999656677246094
"Die Einführung von Volksabstimmungen nach Schweizer Modell ist für die AfD nicht verhandelbarer Inhalt jeglicher Koalitionsvereinbarungen.Das Volk soll die Möglichkeit erhalten, Gesetzesinitiativen einzubringen und per Volksabstimmung zu beschließen",neutral,0.9998888969421387
Hierbei soll es jenseits des Art,neutral,0.9999887943267822
79 Abs,positive,0.7825733423233032
3 GG keine thematischen Beschränkungen geben,neutral,0.9781986474990845
"Die Qualität der Entscheidung der Bürger muss gesichert werden durch einen ausgeprägten und autonomen Prozess der Willensbildung, durch Informationspflichten undrechte und eine breite gesellschaftliche Debatte",neutral,0.9999914169311523
"Auch die Parlamente sollen die Möglichkeit erhalten, eine Volksabstimmung zu initiieren",neutral,0.9999912977218628
Als einzige der im Bundestag vertretenen Parteien halten wir das deutsche Volk für ebenso mündig wie das der Schweizer,neutral,0.9999542236328125
"Entgegen anderslautenden Behauptungen entscheiden Bürger in Schicksalsfragen der Nation weitsichtiger, friedfertiger und gemeinwohlorientierter als Berufspolitiker",neutral,0.9999897480010986
